Marca temporal,¿A quién votaste en las PASO?,¿A quién votaste en las elecciones generales?,¿Cuál sería su intención de voto en el balottage?
2023-11-07T16:05:10.817Z,Nulo/Blanco/No voté,Blanco/Nulo/No voté,Javier Milei
2023-11-07T16:05:25.874Z,Patricia Bullrich,Patricio Bullrich,Javier Milei
2023-11-07T16:05:59.194Z,Javier Milei,Javier Milei,Javier Milei
2023-11-07T16:06:00.941Z,Patricia Bullrich,Patricio Bullrich,Javier Milei
2023-11-07T16:06:01.288Z,Horacio Rodriguez Larreta,Patricio Bullrich,Sergio Massa
2023-11-07T16:06:09.202Z,Javier Milei,Javier Milei,Javier Milei
2023-11-07T16:06:13.425001Z,Javier Milei,Javier Milei,Javier Milei
2023-11-07T16:06:25.609Z,Horacio Rodriguez Larreta,Patricio Bullrich,Javier Milei
2023-11-07T16:06:26.029Z,Nulo/Blanco/No voté,Patricio Bullrich,Sergio Massa
2023-11-07T16:06:28.778Z,Patricia Bullrich,Juan Schiareti,Blanco/Nulo/No voy a votar
2023-11-07T16:06:37.800Z,Sergio Massa,Sergio Massa,Sergio Massa
2023-11-07T16:06:48.603Z,Horacio Rodriguez Larreta,Patricio Bullrich,Javier Milei
2023-11-07T16:06:56.755Z,Patricia Bullrich,Blanco/Nulo/No voté,Javier Milei
2023-11-07T16:07:00.850Z,Patricia Bullrich,Javier Milei,Javier Milei
2023-11-07T16:07:53.664Z,Horacio Rodriguez Larreta,Patricio Bullrich,Blanco/Nulo/No voy a votar
2023-11-07T16:11:22.615Z,Patricia Bullrich,Patricio Bullrich,Javier Milei
2023-11-07T16:14:41.247Z,Patricia Bullrich,Patricio Bullrich,Javier Milei
2023-11-07T16:15:09.697Z,Patricia Bullrich,Patricio Bullrich,Javier Milei
2023-11-07T16:15:41.216Z,Javier Milei,Javier Milei,Javier Milei
2023-11-07T16:23:44.244Z,Javier Milei,Javier Milei,Javier Milei
2023-11-07T16:25:07.664999Z,Juan Schiaretti,Juan Schiareti,Javier Milei
2023-11-07T16:25:40.389Z,Nulo/Blanco/No voté,Javier Milei,Javier Milei
2023-11-07T16:26:26.787Z,Patricia Bullrich,Patricio Bullrich,Javier Milei
2023-11-07T17:59:13.416Z,Patricia Bullrich,Patricio Bullrich,Blanco/Nulo/No voy a votar
