Marca temporal,Sergio Massa,Patricia Bullrich,Juan Schiaretti,Myriam Bregman,Javier Milei,¿Cuál sería su intención de voto en las elecciones generales?,"Ante un eventual enfrentamiento entre Sergio Massa y Patricia Bullrich, ¿A quién votaría?","Ante un eventual enfrentamiento entre Sergio Massa y Javier Milei, ¿A quién votaría?","Ante un eventual enfrentamiento entre Patricia Bullrich y Javier Milei, ¿A quién votaría?",¿A quién votaste en las PASO?
2023-10-10T16:14:12.959001Z,5,1,3,4,2,Patricia Bullrich,Patricia Bullrich,Javier Milei,Patricia Bullrich,Patricia Bullrich
2023-10-10T16:14:22.650Z,4,3,2,5,1,Javier Milei,No iría a votar,Javier Milei,Javier Milei,Javier Milei
2023-10-10T16:14:25.174Z,4,1,3,5,2,Patricia Bullrich,Patricia Bullrich,Javier Milei,Patricia Bullrich,Patricia Bullrich
2023-10-10T16:14:32.904Z,3,4,2,5,1,Javier Milei,Sergio Massa,Javier Milei,Javier Milei,Javier Milei
2023-10-10T16:14:36.667Z,3,1,2,5,4,No voy a votar,Patricia Bullrich,Sergio Massa,Patricia Bullrich,Nulo/Blanco/No voté
2023-10-10T16:14:43.253Z,5,1,3,4,2,Patricia Bullrich,Patricia Bullrich,Javier Milei,Patricia Bullrich,Patricia Bullrich
2023-10-10T16:14:44.909Z,5,2,3,4,1,Patricia Bullrich,Patricia Bullrich,Javier Milei,Patricia Bullrich,Javier Milei
2023-10-10T16:14:48.293Z,4,1,2,3,5,Patricia Bullrich,Patricia Bullrich,Nulo,Patricia Bullrich,Patricia Bullrich
2023-10-10T16:14:48.424Z,5,1,3,4,2,Patricia Bullrich,Patricia Bullrich,Javier Milei,Patricia Bullrich,Patricia Bullrich
2023-10-10T16:14:49.186Z,3,1,4,5,2,No voy a votar,Patricia Bullrich,Javier Milei,Patricia Bullrich,Horacio Rodriguez Larreta
2023-10-10T16:14:53.789Z,5,2,3,4,1,Javier Milei,Patricia Bullrich,Javier Milei,Javier Milei,Patricia Bullrich
2023-10-10T16:14:54.350Z,3,4,2,5,1,Javier Milei,Sergio Massa,Javier Milei,Javier Milei,Nulo/Blanco/No voté
2023-10-10T16:14:55.691Z,4,3,2,5,1,Javier Milei,Patricia Bullrich,Javier Milei,Javier Milei,Javier Milei
2023-10-10T16:14:59.078Z,3,1,2,4,5,Patricia Bullrich,Patricia Bullrich,Sergio Massa,Patricia Bullrich,Horacio Rodriguez Larreta
2023-10-10T16:15:02.205Z,5,3,2,4,1,Javier Milei,Nulo,Javier Milei,Javier Milei,Javier Milei
2023-10-10T16:15:02.550Z,4,1,3,5,2,Patricia Bullrich,Patricia Bullrich,Javier Milei,Patricia Bullrich,Javier Milei
2023-10-10T16:15:04.469Z,5,2,1,4,3,Patricia Bullrich,Patricia Bullrich,Javier Milei,Patricia Bullrich,Juan Schiaretti
2023-10-10T16:15:04.760Z,2,4,1,5,3,Patricia Bullrich,Patricia Bullrich,Sergio Massa,Patricia Bullrich,Horacio Rodriguez Larreta
2023-10-10T16:15:06.351Z,4,2,3,5,1,Javier Milei,Patricia Bullrich,Javier Milei,Javier Milei,Javier Milei
2023-10-10T16:15:10.684Z,4,1,3,5,2,Patricia Bullrich,Patricia Bullrich,Javier Milei,Patricia Bullrich,Horacio Rodriguez Larreta
2023-10-10T16:15:11.421Z,2,4,1,3,5,Sergio Massa,Sergio Massa,Sergio Massa,Patricia Bullrich,Nulo/Blanco/No voté
2023-10-10T16:15:14.565Z,4,1,3,5,2,Patricia Bullrich,Patricia Bullrich,Javier Milei,Patricia Bullrich,Horacio Rodriguez Larreta
2023-10-10T16:15:18.699Z,4,3,2,5,1,Javier Milei,Patricia Bullrich,Javier Milei,Javier Milei,Javier Milei
2023-10-10T16:15:22.855Z,4,2,1,5,3,Juan Schiaretti,Patricia Bullrich,Javier Milei,Patricia Bullrich,Juan Schiaretti
2023-10-10T16:15:23.383Z,5,1,3,4,2,Patricia Bullrich,Patricia Bullrich,Javier Milei,Javier Milei,Patricia Bullrich
2023-10-10T16:15:26.384Z,1,2,3,4,5,Sergio Massa,Sergio Massa,Sergio Massa,Patricia Bullrich,Nulo/Blanco/No voté
2023-10-10T16:15:28.145999Z,5,2,1,4,3,Juan Schiaretti,Patricia Bullrich,Javier Milei,Patricia Bullrich,Patricia Bullrich
2023-10-10T16:15:32.397Z,4,2,3,5,1,No voy a votar,No iría a votar,Javier Milei,Javier Milei,Nulo/Blanco/No voté
2023-10-10T16:15:32.978Z,3,2,4,5,1,Javier Milei,Patricia Bullrich,Javier Milei,Javier Milei,Nulo/Blanco/No voté
2023-10-10T16:15:34.760Z,4,1,2,5,3,Juan Schiaretti,Patricia Bullrich,Javier Milei,Patricia Bullrich,Patricia Bullrich
2023-10-10T16:15:34.974Z,5,3,1,4,2,Juan Schiaretti,Patricia Bullrich,Javier Milei,Javier Milei,Nulo/Blanco/No voté
2023-10-10T16:15:42.640Z,2,4,1,5,3,Sergio Massa,Sergio Massa,Sergio Massa,Javier Milei,Sergio Massa
2023-10-10T16:15:55Z,1,4,2,3,5,Sergio Massa,Sergio Massa,Sergio Massa,Blanco,Sergio Massa
2023-10-10T16:16:04.553Z,5,3,1,5,3,Juan Schiaretti,Patricia Bullrich,Javier Milei,Patricia Bullrich,Patricia Bullrich
2023-10-10T16:16:23.010Z,4,1,2,5,3,Patricia Bullrich,Patricia Bullrich,Javier Milei,Patricia Bullrich,Patricia Bullrich
2023-10-10T16:16:24.602Z,4,3,5,5,4,Javier Milei,Patricia Bullrich,Javier Milei,Javier Milei,Patricia Bullrich
2023-10-10T16:16:29.424Z,4,1,3,5,2,Patricia Bullrich,Patricia Bullrich,Javier Milei,Patricia Bullrich,Patricia Bullrich
2023-10-10T16:16:35.259Z,3,1,2,5,4,Patricia Bullrich,Patricia Bullrich,Sergio Massa,Patricia Bullrich,Nulo/Blanco/No voté
2023-10-10T16:16:46.119Z,4,1,3,5,2,Javier Milei,Patricia Bullrich,Javier Milei,Patricia Bullrich,Patricia Bullrich
2023-10-10T16:16:56.922Z,2,1,3,5,4,Patricia Bullrich,Patricia Bullrich,Sergio Massa,Patricia Bullrich,Patricia Bullrich
2023-10-10T16:18:42.078Z,4,2,1,5,3,Patricia Bullrich,Patricia Bullrich,Javier Milei,Patricia Bullrich,Patricia Bullrich
2023-10-10T16:27:01.467Z,4,2,3,5,1,Javier Milei,Patricia Bullrich,Javier Milei,Javier Milei,Nulo/Blanco/No voté
2023-10-10T16:29:29.778Z,3,4,2,5,1,Javier Milei,Sergio Massa,Javier Milei,Javier Milei,Javier Milei
